"nace.kod","output.multiplier","gva.multiplier","comp.multiplier","sektor"
"nace.79",2.80477138102558,0.590808412659435,0.270032611077841,"Cinn. cest. agentur, kanc. a jiné rez. a souvis. cin."
"nace.42",2.60846226788871,0.687158450273698,0.341696236961209,"Inženýrské stavitelství"
"nace.41",2.58354200884832,0.745832326856862,0.314964931035927,"Výstavba budov"
"nace.73",2.45905556732189,0.700982830453894,0.30057343135605,"Reklama a pruzkum trhu"
"nace.78",2.41952930231377,0.658889057146338,0.333843598436965,"Cinnosti související se zamestnáním"
"nace.74",2.34277152709865,0.746766484441912,0.269741794870696,"Ostatní profesní, ved. a tech. cinnosti"
"nace.93",2.2453507782576,0.755015416080071,0.360725810253697,"Sportovní, zábavní a rekreacní cinnosti"
"nace.18",2.18567587291282,0.688072322335728,0.306085237739808,"Tisk a rozmnož. nahraných nosicu"
"nace.71",2.17204184984365,0.749052787454774,0.36188028959987,"Architekt. a inž. cin.; tech. zk. a analýzy"
"nace.43",2.1136398376768,0.760600136854633,0.237188692919588,"Specializo-vané stavební cinnosti "
"nace.16",2.09933276912555,0.584540588022292,0.216920538788324,"Zprac. dreva, vý. drev., kork., prout. a slam. výr., krome nábytku"
"nace.52",2.09650525431312,0.710485141691376,0.281507263863974,"Skladování a vedlejší cinnosti v doprave"
"nace.65",2.09020817078531,0.707233643144207,0.286281958511929,"Pojištení, zajištení a penz. fin., krome povin. soc. zabezpecení"
"nace.51",2.08626619129558,0.427603893521767,0.202842128298128,"Letecká doprava"
"nace.29",2.08265725086248,0.380390711650531,0.16236170160845,"Výroba motor. vozidel (krome motocyklu), prívesu a návesu"
"nace.37+38+39",2.07014191662417,0.605385843209346,0.298267244782122,"Cinnosti související s odpadními vodami; shromaždování, sber a odstran. odpadu, úprava odpadu k dalšímu využití; sanace a jiné cinnosti související s odpady"
"nace.45",2.0677702183893,0.696618642019211,0.292232828519751,"Velkoob., maloob. a opravy mot. vozidel "
"nace.36",2.05652610746325,0.798302277633825,0.352248992926335,"Shromaždo-vání, úpr. a rozvod vody "
"nace.81",2.02101426111267,0.815809579041666,0.486110149516929,"Cinnosti související se stavb. a úpr. krajiny "
"nace.49",2.02042824108548,0.675750277122127,0.30883816839297,"Pozemní a potrubní doprava"
"nace.66",2.01821688209201,0.787774460367789,0.291433216299594,"Ostatní financní cinnosti"
"nace.82",2.01072157404516,0.709085473656329,0.389326335996985,"Administra-tivní, kanc. a jiné podp. cinn. pro podnikání"
"nace.92",1.94986383614696,0.744515823262893,0.243294630749787,"Cinn. heren, kasin a sáz. kancelárí"
"nace.35",1.94600172587382,0.598001650255232,0.150104113009599,"Výroba a rozvod elektriny, plynu, tepla a klim. vzduchu"
"nace.80",1.93424876892294,0.844174099245587,0.65832393852876,"Bezpecnostní a pátrací cinnosti"
"nace.31",1.93343472597512,0.489547592004296,0.238756282792549,"Výroba nábytku"
"nace.09",1.92081556717726,0.732938475420287,0.411470631904645,"Podpurné cinnosti pri težbe"
"nace.75",1.90947591544775,0.637082390554354,0.210977768907137,"Veterinární cinnosti"
"nace.01",1.9061558907169,0.532391497451429,0.235239717969004,"Zemedelství"
"nace.10",1.90453598804938,0.399223531297559,0.190143866615096,"Výroba potravinár-ských výrobku"
"nace.60",1.89385527316084,0.771901518181666,0.23246171883161,"Tvorba programu a vysílání"
"nace.33",1.89037681297834,0.601656280326763,0.282161339578165,"Opravy a instalace stroju a zarízení"
"nace.08",1.88862013394222,0.563594229474755,0.232328157861187,"Ostatní težba a dobývání"
"nace.46+47",1.88861347578589,0.784903996634549,0.353129478127348,"Velkoob., krome motorových vozidel; maloob., krome motorových vozidel "
"nace.11",1.86595584440328,0.525770525710754,0.186480995066143,"Výroba nápoju"
"nace.68",1.86585577360363,0.852852520339354,0.147425618027985,"Cinnosti v oblasti nemovitostí"
"nace.94",1.85273465963721,0.817176939934339,0.529395777395124,"Cinn. org. sdruž. osoby za úcelem. prosazování spol. zájmu"
"nace.23",1.84996896168266,0.519364241143352,0.241147821000041,"Výroba ost. nekov. minerálních výrobku"
"nace.90",1.84577029755648,0.784713211006096,0.340921484477895,"Tvurcí, umelecké a zábavní cinnosti"
"nace.59",1.84329661582341,0.631663493179222,0.11372504828365,"Cinnosti v oblasti filmu, tel. progr. a videoz., por. zvuk. nahrávek a hud. vydavatelské cinnosti"
"nace.56",1.81715801907345,0.671154356441242,0.286062616020436,"Stravování a pohostinství"
"nace.61",1.79121406585161,0.659635313399009,0.195769010204932,"Telekomuni-kacní cinnosti"
"nace.25",1.79046910643957,0.454391408315982,0.222656005030657,"Výr. kov. konstrukcí a kovodel-ných výr., krome stroju a zarízení"
"nace.17",1.76860670577578,0.354538652454846,0.149898343546919,"Výroba papíru a výrobku z papíru"
"nace.02",1.76279043928133,0.703169849961743,0.178995592689618,"Lesnictví a težba dreva"
"nace.95",1.74590693288635,0.726293891539298,0.312240563183245,"Opravy pocítacu a výr. pro os. potrebu a prevážne pro domácnost"
"nace.30",1.73535445072866,0.417053810022889,0.190992834646308,"Výroba ostatních dopravních prostredku a zarízení"
"nace.53",1.73185082721974,0.699406913795007,0.518927785666882,"Poštovní a kurýrní cinnosti"
"nace.22",1.71795813710521,0.373175070129432,0.154769596504304,"Výroba pryž. a plast. výrobku"
"nace.19",1.71374404499637,0.157229938765571,0.0504855982620278,"Výroba koksu a raf. ropných produktu "
"nace.27",1.71013976792493,0.336255656441068,0.159137420658603,"Výroba elektrických zarízení"
"nace.13",1.69672240518703,0.346056683676468,0.175519831381843,"Výroba textilií "
